# m  n  i  j   cov_mnij  corr_mnij  icov_mnij  I_mnij  mu_mnij
  7.000    7.000    1.835    1.835   3.997e+01   1.000e+00   6.043e-02   1.000e+00   7.401e-01
  7.000    7.000    1.835    3.033   4.332e+01   5.197e-01  -9.996e-03  -5.916e-17   7.457e-01
  7.000    7.000    3.033    0.020  -8.140e-01  -7.614e-04   1.445e-06   3.727e-20   7.514e-01
  7.000    7.000    3.033    0.033  -1.755e-01  -2.682e-04  -4.851e-07   1.694e-20   7.400e-01
  7.000    7.000    3.033    0.054   1.303e-01   3.286e-04   2.791e-06  -8.132e-20   7.460e-01
  7.000    7.000    3.033    0.090   6.813e-01   2.826e-03  -7.003e-06  -6.505e-19   7.510e-01
  7.000    7.000    3.033    0.149   1.068e+00   7.195e-03  -3.164e-05   8.674e-19   7.500e-01
  7.000    7.000    3.033    0.246   1.907e+00   2.112e-02  -1.556e-04  -1.041e-17   7.499e-01
  7.000    7.000    3.033    0.407   3.244e+00   5.532e-02  -1.978e-04   0.000e+00   7.497e-01
  7.000    7.000    3.033    0.672   6.950e+00   1.533e-01   5.907e-04   1.110e-16   7.487e-01
  7.000    7.000    3.033    1.110   1.582e+01   2.945e-01   2.873e-03  -1.803e-16   7.463e-01
  7.000    7.000    3.033    1.835   4.332e+01   5.197e-01  -9.996e-03  -5.260e-17   7.457e-01
  7.000    7.000    3.033    3.033   1.739e+02   1.000e+00   7.963e-03   1.000e+00   7.544e-01
