# cluster  IDs
A119        3344,9236,11809,13172,14965,17831,18115,22499,26520,28823,35215,35748,37182,37371,38454,39087,39299,39444,40040,40075,43664,44009,44571,45036,45120,46484,47186,47457,49221,49985,50739,51846,52333,53829,54550,55405,55843,56158,58424,58428,58845,59705,59998,60085,62138,62314,63190,65988,67371,67463,68362,68928,70819,71148,74969,75896,78838,79258,79475,79776,82129,84515,85215,85239,87329,87484,88992,91197,91674,93870,95570,95666,95982,104897,105293,105595,105845,106793,116038,116352,130219,133275
A2033       35848,42957,46972,47423,47572,48166,51054,52989,53475,61807,66418,70989,76618,78296,80072,80926,85176,86720,87877,90840,92680,94366,96162,113425,119117
A2065       42283,44508,49589,56115,63337,64282,64914,69475,72241,75287,78261,86049,111573
A1650       49752,53944,62290,63871,69673,76889,78059,78680,80540,81619,82884,87275,94052,94627,96569
ZWCL1215    22402,22827,27432,30406,35679,38949,39283,39469,44715,47686,48254,48997,49296,50448,50462,52724,53760,53780,64982,66228,69213,70984,74305,74657,76604,79183,81452,83104,83356,85945,92505
A2495       39511,41539,45842,51491,52273,52921,60043,60246,60912,64673,75149,76623,76844
A1651       26810,33095,35604,44117,47460,51742,51798,52988,54424,57376,57438,58456,59178,59210,59428,60129,60828,61765,61925,61984,63757,64930,65267,65799,65947,66754,67895,72114,76155,77167,82257,86507,86572
A1650       49752,53944,62290,63871,69673,76889,78059,78680,80540,81619,82884,87275,94052,94627,96569
A2033       35848,42957,46972,47423,47572,48166,51054,52989,53475,61807,66418,70989,76618,78296,80072,80926,85176,86720,87877,90840,92680,94366,96162,113425,119117
A2065       42283,44508,49589,56115,63337,64282,64914,69475,72241,75287,78261,86049,111573
A780        16628,18851,20570,21404,22154,22477,23550,25434,25610,27152,27759,28974,29335,29653,30153,32905,33361,36371,37575,39044,39141,40285,50350,50950,51559,53623,58541,59060,60926,60990,61737,64693,64944,65367,65748,66372,67622,68292,68679,69228,69507,69550,71319,72262,74338,76326,79446,79697,82611,83602,83851,89150,90765,93537,98233,100509,101493
A2495       39511,41539,45842,51491,52273,52921,60043,60246,60912,64673,75149,76623,76844
A1650       49752,53944,62290,63871,69673,76889,78059,78680,80540,81619,82884,87275,94052,94627,96569
ZWCL1215    22402,22827,27432,30406,35679,38949,39283,39469,44715,47686,48254,48997,49296,50448,50462,52724,53760,53780,64982,66228,69213,70984,74305,74657,76604,79183,81452,83104,83356,85945,92505
A1795       24929,26358,27123,27918,28742,29334,29763,31229,31582,34560,35578,35726,36350,36597,36711,36968,36974,38763,38971,41321,44261,46200,46390,47246,48423,48581,48769,49458,49481,49951,50765,51034,51352,51564,51769,53755,53905,55938,58639,59251,59623,61023,62092,64760,65549,66495,66588,67093,67866,70442,70532,71537,71767,72299,72614,72700,72771,74304,75760,77438,77721,78350,78774,79992,80793,82443,83252,84620,85108,85709,86056,86444,86867,87463,87670,88146,88242,88501,89339,89439,89471,90539,92090,92316,94139,94410,95141,95617,95730,95960,96116,96195,97017,98220,100316,100826,102758,103372,105159,105548,105625,105946,106597,106616,107008,108735
